ep,planned_date,pillar,category,working_title,banner_line1,banner_line2,hook_promise,production_note,footage_source,fact_check_rule,tags
21,"FOLDED 2026-08-14 → S1 (the """"AI interviews you first"""" move is now the launch-copy beat in bc06 Ch.4; brief preserved for a future standalone. Wed Aug 19 is DARK by design)",claude-desktop-efficiency,prompting,Make AI Ask YOU Questions First 🎯,MAKE AI,ASK YOU FIRST,A generic AI answer means it guessed at your situation — one line makes it interview you first so the answer actually fits,"PART 2 of the Aug-17 follow-up pair (ep19). MOVED OFF THE NEWS LANE 2026-08-14 on the 12-day read (docs/stats/AI-UNPACKED-READ-2026-08-14.md): same rationale as ep19 — Aug 19 was a generic ""fetch feeds day-of"" news slot with no peg booked, and news is the weakest lane (median ~14 views vs tips ~134). PAIR NARRATIVE: ep19 (Mon) = surface what the answer HID (""What am I missing?""); ep21 (Wed) = make it FIT YOU (make AI interview you first). Same proven single-tape harness as ep19/#26/#30: ONE unbroken no-login chatgpt.com session, record_demo.py --followup, fail->fix->proof. PRODUCE SPEC (locked 2026-08-14): ask a real decision question -> generic/hedged first answer; --fail-terms ""depends,generally,it's important"" (first answer must be generic); --followup ""Before you answer, what do you need to know about my situation to make this specific?""; --fix-seed-terms ""do you,are you,what"" (the follow-up MUST ask clarifying questions BACK — validate exact seeds against the live tape at shoot). CTA tail: reply SHIPPED if the tailored answer beat the generic one. Slot 16:00 IST = 10:30 UTC. Windows/Mac worker: run record_demo.py --preflight FIRST — a LOGGED_OUT return kills the tape and the brief needs re-planning, not a re-shoot",single no-login chatgpt.com tape (record_demo.py --followup),none — evergreen; no dated claims and no vendor version numbers in script or description,ai prompting;chatgpt tips;better ai answers;clarifying questions;make ai ask questions;prompt tips;ai for beginners;ai productivity;ai tips
22,SHIPPED 2026-08-07 Ep7 · youtu.be/AjlIpsRV1Xo,claude-desktop-efficiency,plan-mode,Stop Letting Claude Wreck Your Files (Plan Mode) 🛑,MAKE CLAUDE,THINK FIRST,Claude edits before it thinks — one shortcut makes it plan first and wait for your OK,RE-CUT of retired v1 (FkzXJMWlYzc). AT PRODUCTION: record real VHS plan-mode tape (Shift+Tab -> plan -> approve),vhs tape (real Plan Mode flow),verify Shift+Tab / plan-mode UX current,claude code;plan mode;ai coding;claude ai tips;ai for beginners;ai tips
26,SHIPPED 2026-08-12 · youtu.be/BlQ-gDzw1aE,claude-desktop-efficiency,prompting,Everyone Knows You Used AI — One Line Fixes It ✍️,EVERYONE KNOWS,YOU USED AI,AI writing has a register tell — one added line makes it sound like you,"EVERGREEN: news peg (em-dash) deliberately dropped — Aug 2026 reporting contradicts it; brief moved Aug 8→11 but Aug 11 was already booked by YrjPbZK28Oo, so scheduled Aug 12",single no-login chatgpt.com tape (record_demo.py --followup fail→fix→proof),none — evergreen; no dated claims in script or description,ai writing;chatgpt writing;sounds human;prompt tips;ai for beginners;ai tips
27,ARCHIVED 2026-08-10 (was: PRODUCED 2026-08-06 unscheduled draft),new-capability,capability,This Free Google AI Now Does The Math On Your Files 📊,IT DOESN'T JUST,READ YOUR FILES,The 'chat with your PDFs' tool now runs real code on your documents — reading + citing stays free,"REVISION of the Aug-9 Gemini Notebook brief, re-pegged off the stale Jul-16 rename onto the capability. PLAN-TIME PREFLIGHT (record_demo.py --preflight) returned LOGGED_OUT, killing BOTH the compute demo and the cross-doc fallback — whole product is behind a Google login the recorder profile lacks. Demo is 100%% in-house (make_doc_mock.py 4 states + locked StatBars). Needs a human `--setup-profile` login before any future Google demo.",in-house mock (make_doc_mock.py) + StatBars — NO vendor UI,"capability-first: rename is orientation only, never 'just'; code execution voiced as rolling out, never shown",gemini notebook;notebooklm;ai for documents;chat with pdf;google ai;ai data analysis;ai for beginners;free ai tools;ai tips
29,ARCHIVED 2026-08-10 (was: PRODUCED 2026-08-06 unscheduled draft; brief targeted 2026-08-12),news,news,"That ""AI"" Label Is The Law Now — Europe Said No To The Delay 🏷️",THAT AI LABEL,IS LAW NOW,"Article 50 of the EU AI Act became applicable and enforceable 2 Aug 2026 — what the badge means, what was actually deferred, and the €15m ceiling","REVISION of the Aug-12 EU AI Act brief with the deferral question RESOLVED (Art. 50 in force; Digital Omnibus deferred high-risk to Dec 2027; only grace = Art. 50(2) machine-readable marking to 2 Dec 2026 for pre-Aug-2026 systems). PEG GATE returned UNVERIFIED -> resolved by WebSearch + zero-temporal-claim framing. Visuals 100%% in-house (new scripts/make_label_mock.py, 4 states) + locked StatBars + 1 licensed Pexels clip. DAY-OF freshness pass on 2026-08-12 still owed (human step).","in-house mock (make_label_mock.py) + StatBars + Pexels b-roll — NO EU emblem, no third-party screenshots","state the applicability date, never 'proposed' or 'coming'; name WHICH duty was deferred; sources dated in description",eu ai act;ai act article 50;ai label;ai transparency;ai watermark;deepfake law;ai regulation;ai news;ai for beginners;ai tips
30,ARCHIVED 2026-08-10 (was: PRODUCED 2026-08-06 unscheduled draft; brief targeted 2026-08-13),claude-desktop-efficiency,prompting,Stop Describing Your Document To AI — Give It The File 📄,STOP DESCRIBING,GIVE IT THE FILE,Describing a document from memory gets you a hedged answer; pasting the actual clause gets you your own numbers back,"REVISION of the Aug-13 news slot, moved OFF the model-picker topic (3rd run in 12 days, weakest-retention lane) onto the next unproduced chapter of the Ep2 'painful problem -> one-move fix' structure. ONE no-login chatgpt.com tape (record_demo.py --followup --followup-paste --followup-scroll): hedged answer -> clause pasted into the SAME chat -> grounded answer. Plan-time probe: logged-out file inputs are ALL image-only (a .txt returns 'Unable to upload'), so paste is the only path — the brief anticipated this. Tape also deposited as footage-bank session_d_document_grounding; do NOT re-record it for the Aug-14 bank job.","single no-login chatgpt.com tape (record_demo.py --followup + --followup-paste of an in-house clause) — no vendor doc, no third-party screenshot","none — evergreen; the pasted agreement is our own invented text, no dated claims in script or description",ai for documents;chatgpt tips;lease agreement;contract review;ai prompting;give ai context;chatgpt document;ai for beginners;ai productivity;prompt tips;ai tips
bc01,2026-08-17,build-club,build,I Shipped a Website in 4 Minutes — Your Turn ⏱️ [Ch.1 v5 SEASON OPENER],4 MINUTES,YOUR TURN,Four minutes ago this website didn't exist — watch the whole build then ship yours tonight; no code no card,"PACKAGING IDEATED 2026-08-15 (VJ choice B): title pattern read on the channel's own tips lane — every ""Stop..."" imperative shipped landed single-digit (7/5/4 views incl. v4's exact title) while every second-person/curiosity title got sampled (165/147/129/109) and the proof-first ""I Built an AI Factory"" is the channel's lifetime best (223). v5 opens PROOF-FIRST: cold open ON the live URL already on screen, VO ""Four minutes ago, this didn't exist"" — hook lands in audio+VO together inside 2s; ""your turn"" makes the season promise personal and feeds the SHIPPED homework loop. SEASON OPENER MOVED TO MONDAY (VJ directive 2026-08-15): the Fri Aug-14 cut (youtu.be/bWoa98zMWjA, v4) published into the weekend against the read (Mon/Tue/Thu are the proven days) and skipped audition gates 3/4/5. v5 is a REDO, NOT a re-upload: NEW cold open (hook must land in AUDIO+VO together inside 2s — the audience is hooked by the sound before the eyes settle), NEW season-map beat (~3s: THIS WEEK — Mon it goes LIVE, Tue it gets SMART, Thu YOU GET LISTED, Fri the finale — a quick learning series, one week, not someday), RE-RECORDED tape of the real build (Claude writes single-file index.html -> drag onto Netlify Drop -> live URL visible; reuse the locked beat spine, new session so the tape is genuinely new), tightened VO pacing wall-to-wall (great-educator register: calm, precise, zero filler — every sentence earns the next second). ALL 5 AUDITION GATES MANDATORY before arm (BUILD-CLUB.md section 7) — the v4 miss is the whole reason this redo exists. OWNER REVIEW STEP: when v5 is armed for Mon 16:00 IST, UNLIST (not delete) the v4 cut bWoa98zMWjA so the season canonical is v5 — flag this in the job result for VJ to confirm. Homework outro via outro_cta: ship yours + comment SHIPPED. Ep key bc01 (v5). Season bible: BUILD-CLUB.md section 4","playwright (claude.ai one-file page + app.netlify.com/drop real deploy — fresh session, new tape)",verify Netlify Drop still free + no-card at production,build with ai;no code;free website;claude ai;ship it;ai for beginners;build club;ai tips
bc02,2026-08-18,build-club,build,Ch.2 — Make Your Website SMART (One AI Move) 🧠,ONE MOVE,IT GETS SMART,The page you shipped last night starts answering visitors on its own — one free AI feature,"S1 Tue chapter (proven day: Aug-11 Tue d0 165/132). SEASON SHAPE (VJ directive 2026-08-15): Mon Ch.1 LIVE (bc01 v5) -> Tue Ch.2 SMART -> NO dark Wednesday (VJ 2026-08-15: cadence Mon/Tue/Wed/Thu consecutive).3 LAUNCH/LISTED -> Fri early finale of the quick learning series. Everything decided in 24-48h, so chapters stack inside each other's live window; Cadence Mon->Tue->Wed->Thu consecutive, no dark day (VJ 2026-08-15). Slot 16:00 IST — the only tested time. AT PRODUCTION: opens on the LIVE Ch.1 site shipped LAST NIGHT (standalone-first ≤2s, hook lands in audio+VO together). FOLD ep19's move on-camera: after Claude writes the feature, type ""What am I missing?"" and let the answer harden the build. Educator register: calm, precise, zero filler. Homework outro: add yours + comment SHIPPED. ALL 5 Audition Gates (BUILD-CLUB.md section 7) before arm",playwright (claude.ai + the live Ch.1 site),confirm chosenfree AI-embed path current at production,build with ai;ai feature;claude ai;build club;ai for beginners;ai tips
bc03,S2 BACKLOG (was S1 Tue; moved 2026-08-15 when Ch.1 v5 took Monday — S2 opens with memory),build-club,build,S2 — Give Your App A MEMORY (Free Database) 🗄️,GIVE IT,A MEMORY,Your site remembers real users — a free database in one move,"S2 BACKLOG — HELD by the 2026-08-18 pivot (PIVOT-DECISION.md §2): the serialized build STORY moves to the Friday long-form + playlist, not the Shorts feed. Do not schedule as a Short without revisiting that decision. | S2 BACKLOG. AT PRODUCTION: Supabase free tier; opens on the S1 site already live+smart+listed (standalone-first); homewo",playwright (supabase.com + live site),confirm Supabase free-tier flow current,build with ai;database;supabase;claude ai;build club;ai tips
bc04,S2 BACKLOG (was 2026-09-04; S1 compressed to one week 2026-08-14),build-club,build,S2 — It Works While You SLEEP (Free Automation) ⏰,WORKS WHILE,YOU SLEEP,Your app does a real job on a schedule — no server no cost,"S2 BACKLOG — HELD by the 2026-08-18 pivot (PIVOT-DECISION.md §2): the serialized build STORY moves to the Friday long-form + playlist, not the Shorts feed. Do not schedule as a Short without revisiting that decision. | AT PRODUCTION: scheduled function/cron on the free tier; standalone-first; homework outro + SHIPPED",playwright/vhs (scheduler config + proof it fired),confirm free scheduled-function path current,build with ai;automation;claude ai;build club;ai tips
bc05,S2 BACKLOG (was 2026-09-11; S1 compressed to one week 2026-08-14),build-club,build,S2 — Your App Now TALKS To You (Alerts) 📬,IT TALKS,TO YOU,Your app messages you when something happens — one free notification hook,"S2 BACKLOG — HELD by the 2026-08-18 pivot (PIVOT-DECISION.md §2): the serialized build STORY moves to the Friday long-form + playlist, not the Shorts feed. Do not schedule as a Short without revisiting that decision. | AT PRODUCTION: email/telegram alert wired to Ch.4 job; standalone-first; homework outro + SHIPPED",playwright (hook config + real alert arriving on screen),confirm chosen free notification path current,build with ai;notifications;claude ai;build club;ai tips
bc06,RETIRED (was 2026-08-19),build-club,build,Ch.3 — LAUNCH DAY: List Yourself Tonight 🎉,LIST YOURSELF,TONIGHT,Monday you shipped it — tonight your name and your link go public where people can find you,"RETIRED 2026-08-18 — serialized Build Club Shorts de-prioritized on data (Ch.1 9 views/4d, bc01 v5 8 views@16h vs 107-228 for standalone tips). See channels/claude-tricks/PIVOT-DECISION.md §2. Slot freed for a standalone tip. | prior note: S1 Wed LAUNCH chapter (moved from Thu — VJ 2026-08-15 consecutive cadence). The season promise lands here: started Monda",playwright (final walkthrough + the real public listing),none — evergreen,build with ai;launch;claude ai;build club;ai for beginners;ai tips
bcs1f,RETIRED (was 2026-08-20),build-club,build,You Built This In ONE Week 🏆 (Season Finale),ONE WEEK,YOU BUILT THIS,Monday it was an idea — Friday it's live with your name on it and people showing up; here's the whole week in 60 seconds,"RETIRED 2026-08-18 — serialized Build Club Shorts de-prioritized on data (Ch.1 9 views/4d, bc01 v5 8 views@16h vs 107-228 for standalone tips). See channels/claude-tricks/PIVOT-DECISION.md §2. Slot freed for a standalone tip. | prior note: S1 FINALE + SHOWCASE (Thu Aug-20, moved from Fri — consecutive cadence) (the ""people coming for you"" beat). FINALE of th",playwright/recap cut (season footage + real comment screenshots),none — evergreen; comment screenshots are our own channel's,build with ai;build club;one week challenge;ship it;claude ai;ai for beginners;ai tips
